"title_name","title_url","title_date"
"[SALAH] Terdapat Parasit yang Mematikan di Dalam Vaksin Covid-19","https://covid19.go.id/p/hoax-buster/salah-terdapat-parasit-yang-mematikan-di-dalam-vaksin-covid-19","30 Nov 2021"
"[SALAH] Jepang Menggunakan Ivermectin dan Menghentikan Vaksin untuk Memberantas Virus Covid-19","https://covid19.go.id/p/hoax-buster/salah-jepang-menggunakan-ivermectin-dan-menghentikan-vaksin-untuk-memberantas-virus-covid-19","30 Nov 2021"
"[SALAH] PPKM Level 4 Pada 24 Desember 2021 Karena Ada Varian Covid-19 Baru","https://covid19.go.id/p/hoax-buster/salah-ppkm-level-4-pada-24-desember-2021-karena-ada-varian-covid-19-baru","29 Nov 2021"
"[SALAH] Swab PCR Merupakan Cara untuk Melakukan Vaksinasi","https://covid19.go.id/p/hoax-buster/salah-swab-pcr-merupakan-cara-untuk-melakukan-vaksinasi","28 Nov 2021"
"[SALAH] Aliansi Dokter Dunia Mengatakan Bahwa Varian Delta Tidak Ada","https://covid19.go.id/p/hoax-buster/salah-aliansi-dokter-dunia-mengatakan-bahwa-varian-delta-tidak-ada","28 Nov 2021"
"[SALAH] Vaksinasi Covid-19 Menyebabkan Seseorang Terkena Kanker","https://covid19.go.id/p/hoax-buster/salah-vaksinasi-covid-19-menyebabkan-seseorang-terkena-kanker","27 Nov 2021"
"Awas Hoaks Sperma Orang yang Sudah Divaksin Tidak Sehat","https://covid19.go.id/p/hoax-buster/awas-hoaks-sperma-orang-yang-sudah-divaksin-tidak-sehat","27 Nov 2021"
"[SALAH] Lowongan Kerja Puskesmas Mulyorejo","https://covid19.go.id/p/hoax-buster/salah-lowongan-kerja-puskesmas-mulyorejo","22 Nov 2021"
"[SALAH] Akun Facebook Kabid P2P Dinkes Sampang dokter Yuliono","https://covid19.go.id/p/hoax-buster/salah-akun-facebook-kabid-p2p-dinkes-sampang-dokter-yuliono","22 Nov 2021"
"Awas Hoaks Link Palsu Pengecekan Bantuan COVID-19 Sebesar Rp600.000 bagi Pemilik KTP atau SIM","https://covid19.go.id/p/hoax-buster/awas-hoaks-link-palsu-pengecekan-bantuan-covid-19-sebesar-rp600000-bagi-pemilik-ktp-atau-sim","22 Nov 2021"
"[SALAH] Rumah Sakit Australia Penuh Karena Pasien Mengalami Efek Samping Vaksin","https://covid19.go.id/p/hoax-buster/salah-rumah-sakit-australia-penuh-karena-pasien-mengalami-efek-samping-vaksin","21 Nov 2021"
"[SALAH] Mahkamah Agung Amerika Serikat Telah Membatalkan Vaksinasi Masal","https://covid19.go.id/p/hoax-buster/salah-mahkamah-agung-amerika-serikat-telah-membatalkan-vaksinasi-masal","19 Nov 2021"
"Awas Hoaks Robot Dirancang untuk Memberikan Vaksinasi Secara Paksa","https://covid19.go.id/p/hoax-buster/awas-hoaks-robot-dirancang-untuk-memberikan-vaksinasi-secara-paksa","18 Nov 2021"
"Awas Hoaks Penampakan Foto Bayi Satu Mata dan Berekor Akibat Ibunya Divaksin COVID-19 saat Mengandung","https://covid19.go.id/p/hoax-buster/awas-hoaks-penampakan-foto-bayi-satu-mata-dan-berekor-akibat-ibunya-divaksin-covid-19-saat-mengandung","17 Nov 2021"
"Awas Hoaks Jepang Hentikan Vaksin Covid-19 dan Memilih Ivermectin","https://covid19.go.id/p/hoax-buster/awas-hoaks-jepang-hentikan-vaksin-covid-19-dan-memilih-ivermectin","16 Nov 2021"
"[SALAH] Tautan Pengecekan Bantuan Covid-19 Sebesar Rp600.000 bagi Pemilik KTP atau SIM","https://covid19.go.id/p/hoax-buster/salah-tautan-pengecekan-bantuan-covid-19-sebesar-rp600000-bagi-pemilik-ktp-atau-sim","15 Nov 2021"
"[SALAH] Pemerintah Akan Suntik Paksa Vaksin Mematikan pada 22 Februari 2022","https://covid19.go.id/p/hoax-buster/salah-pemerintah-akan-suntik-paksa-vaksin-mematikan-pada-22-februari-2022","15 Nov 2021"
"[SALAH] Bayi Dilahirkan dengan Kelainan Genetik Akibat Ibunya Disuntik Vaksin Covid-19","https://covid19.go.id/p/hoax-buster/salah-bayi-dilahirkan-dengan-kelainan-genetik-akibat-ibunya-disuntik-vaksin-covid-19","15 Nov 2021"
"[SALAH] Subsidi Pulsa Rp250 Ribu dan Kuota 75Gb dari Kemendikbud","https://covid19.go.id/p/hoax-buster/salah-subsidi-pulsa-rp250-ribu-dan-kuota-75gb-dari-kemendikbud","15 Nov 2021"
"[SALAH] Vaksin Covid-19 Mengandung Graphene Oxide yang Bereaksi pada Getaran Musik","https://covid19.go.id/p/hoax-buster/salah-vaksin-covid-19-mengandung-graphene-oxide-yang-bereaksi-pada-getaran-musik","14 Nov 2021"
"[SALAH] Robot Dirancang untuk Memberikan Vaksinasi Secara Paksa","https://covid19.go.id/p/hoax-buster/salah-robot-dirancang-untuk-memberikan-vaksinasi-secara-paksa","11 Nov 2021"
"[SALAH] Tes Swab Dapat Menggores Amigdala dan Dilakukan di Zaman Mesir Kuno untuk Membuat Budak Menjadi Patuh","https://covid19.go.id/p/hoax-buster/salah-tes-swab-dapat-menggores-amigdala-dan-dilakukan-di-zaman-mesir-kuno-untuk-membuat-budak-menjadi-patuh","10 Nov 2021"
"[SALAH] 13 Anak Sekolah di Afrika Meninggal Karena Vaksin Covid-19","https://covid19.go.id/p/hoax-buster/salah-13-anak-sekolah-di-afrika-meninggal-karena-vaksin-covid-19","09 Nov 2021"
"[SALAH] Foto Kemasan Vaksin Sinovac “Only for clinical trial”","https://covid19.go.id/p/hoax-buster/salah-foto-kemasan-vaksin-sinovac-only-clinical-trial","08 Nov 2021"
"[SALAH] Indonesia Terpilih Menjadi Presiden G20 Karena Berhasil Kendalikan Pandemi","https://covid19.go.id/p/hoax-buster/salah-indonesia-terpilih-menjadi-presiden-g20-karena-berhasil-kendalikan-pandemi","08 Nov 2021"
"[SALAH] “CEO Pfizer ditangkap, didakwa dengan penipuan”","https://covid19.go.id/p/hoax-buster/salah-ceo-pfizer-ditangkap-didakwa-dengan-penipuan","07 Nov 2021"
"Awas Hoaks: Stroke Menyerang Anak-Anak sebagai Efek Samping Vaksin COVID-19","https://covid19.go.id/p/hoax-buster/awas-hoaks-stroke-menyerang-anak-anak-sebagai-efek-samping-vaksin-covid-19","06 Nov 2021"
"Awas Hoaks: WHO Akui COVID-19 Sama dengan Flu Biasa dan 500.000 Orang di AS Tewas karena Vaksin","https://covid19.go.id/p/hoax-buster/awas-hoaks-who-akui-covid-19-sama-dengan-flu-biasa-dan-500000-orang-di-tewas-karena-vaksin","03 Nov 2021"
"[SALAH] Poster tentang Penyakit Stroke yang Menyerang Anak-anak sebagai Efek Samping Covid-19","https://covid19.go.id/p/hoax-buster/salah-poster-tentang-penyakit-stroke-yang-menyerang-anak-anak-sebagai-efek-samping-covid-19","02 Nov 2021"
"Awas Hoaks: Video Jenazah COVID-19 yang Sedang Merokok","https://covid19.go.id/p/hoax-buster/awas-hoaks-video-jenazah-covid-19-yang-sedang-merokok","02 Nov 2021"
"Awas Hoaks Seorang Anak Meninggal Setelah Divaksinasi COVID-19","https://covid19.go.id/p/hoax-buster/awas-hoaks-seorang-anak-meninggal-setelah-divaksinasi-covid-19","01 Nov 2021"
"[SALAH] Seorang Anak Meninggal Setelah Divaksinasi Covid-19","https://covid19.go.id/p/hoax-buster/salah-seorang-anak-meninggal-setelah-divaksinasi-covid-19","29 Okt 2021"
"[SALAH] Video Jenazah Covid-19 yang Sedang Merokok","https://covid19.go.id/p/hoax-buster/salah-video-jenazah-covid-19-yang-sedang-merokok","25 Okt 2021"
"[SALAH] Menghirup Cuka dapat Menyembuhkan Covid-19","https://covid19.go.id/p/hoax-buster/salah-menghirup-cuka-dapat-menyembuhkan-covid-19","24 Okt 2021"
"[SALAH] 600 Pelajar China Diberikan Vaksin Kosong di DKI Jakarta","https://covid19.go.id/p/hoax-buster/salah-600-pelajar-china-diberikan-vaksin-kosong-di-dki-jakarta","24 Okt 2021"
"[SALAH] Studi FDA: Vaksin Pfizer Membuat Orang Lebih Rentan Tertular Covid-19","https://covid19.go.id/p/hoax-buster/salah-studi-fda-vaksin-pfizer-membuat-orang-lebih-rentan-tertular-covid-19","22 Okt 2021"
"[SALAH] Scan MRI Harus Dihindari Penerima Vaksin Covid-19","https://covid19.go.id/p/hoax-buster/salah-scan-mri-harus-dihindari-penerima-vaksin-covid-19","22 Okt 2021"
"Awas Hoaks: Video Bayi Terlahir Cacat Akibat Vaksin COVID-19 di India","https://covid19.go.id/p/hoax-buster/awas-hoaks-video-bayi-terlahir-cacat-akibat-vaksin-covid-19-di-india","21 Okt 2021"
"[SALAH] Uni Eropa Akan Menghentikan Program Vaksin Covid-19 Mulai Oktober 2021","https://covid19.go.id/p/hoax-buster/salah-uni-eropa-akan-menghentikan-program-vaksin-covid-19-mulai-oktober-2021","20 Okt 2021"
"[SALAH] Video Pidato Anthony Fauci Mengembangkan Virus Influenza Baru","https://covid19.go.id/p/hoax-buster/salah-video-pidato-anthony-fauci-mengembangkan-virus-influenza-baru","20 Okt 2021"
"[SALAH] Judul Berita ITV tentang Seorang Pria Bersedia Divaksin setelah Membuat Tiga Orang Temannya Meninggal karena Covid-19","https://covid19.go.id/p/hoax-buster/salah-judul-berita-itv-tentang-seorang-pria-bersedia-divaksin-setelah-membuat-tiga-orang-temannya-meninggal-karena-covid-19","20 Okt 2021"
"Awas Hoaks: Maskapai Penerbangan Internasional Melarang Penumpang yang Sudah Divaksinasi untuk Melakukan Perjalanan Penerbangan","https://covid19.go.id/p/hoax-buster/awas-hoaks-maskapai-penerbangan-internasional-melarang-penumpang-yang-sudah-divaksinasi-untuk-melakukan-perjalanan-penerbangan","19 Okt 2021"
"[SALAH] Sinovac Tidak Manjur, China Pindah ke Pfizer dan Moderna","https://covid19.go.id/p/hoax-buster/salah-sinovac-tidak-manjur-china-pindah-ke-pfizer-dan-moderna","18 Okt 2021"
"[SALAH] Balita divaksin “Upaya Menuju Pemusnahan Massal Umat Islam”","https://covid19.go.id/p/hoax-buster/salah-balita-divaksin-upaya-menuju-pemusnahan-massal-umat-islam","18 Okt 2021"
"[SALAH] Pilot Pesawat Maskapai Delta Meninggal setelah Divaksin","https://covid19.go.id/p/hoax-buster/salah-pilot-pesawat-maskapai-delta-meninggal-setelah-divaksin","15 Okt 2021"
"[SALAH] Kasus Positif Covid-19 di Surabaya Naik","https://covid19.go.id/p/hoax-buster/salah-kasus-positif-covid-19-di-surabaya-naik","15 Okt 2021"
"[SALAH] Dana Bantuan Kesehatan & Modal Usaha dari Pusat BPJS Kesehatan","https://covid19.go.id/p/hoax-buster/salah-dana-bantuan-kesehatan-modal-usaha-dari-pusat-bpjs-kesehatan","15 Okt 2021"
"[SALAH] Darah Orang yang Divaksin Covid-19 Menjadi Tidak Normal dan Tidak Bisa Donor Darah","https://covid19.go.id/p/hoax-buster/salah-darah-orang-yang-divaksin-covid-19-menjadi-tidak-normal-dan-tidak-bisa-donor-darah","14 Okt 2021"
"Awas Hoaks Ribuan Orang di Indonesia Meninggal Dunia setelah Vaksin COVID-19","https://covid19.go.id/p/hoax-buster/awas-hoaks-ribuan-orang-di-indonesia-meninggal-dunia-setelah-vaksin-covid-19","13 Okt 2021"
"Awas Hoaks Uni Eropa Hentikan Vaksin COVID-19 Mulai 20 Oktober 2021","https://covid19.go.id/p/hoax-buster/awas-hoaks-uni-eropa-hentikan-vaksin-covid-19-mulai-20-oktober-2021","12 Okt 2021"
"[SALAH] CDC Amerika Serikat Memperingatkan Adanya Penyakit Mirip Polio yang Akan Muncul Pada Akhir Tahun 2021","https://covid19.go.id/p/hoax-buster/salah-cdc-amerika-serikat-memperingatkan-adanya-penyakit-mirip-polio-yang-akan-muncul-pada-akhir-tahun-2021","10 Okt 2021"
"[SALAH]: Situs Pedulilindungiq.com dan Minta Dana Rp1 Juta Untuk Vaksin Covid-19","https://covid19.go.id/p/hoax-buster/salah-situs-pedulilindungiqcom-dan-minta-dana-rp1-juta-untuk-vaksin-covid-19","10 Okt 2021"
"[SALAH] Penampakan Protes Wajib Vaksin di Melbourne Tahun 2021","https://covid19.go.id/p/hoax-buster/salah-penampakan-protes-wajib-vaksin-di-melbourne-tahun-2021","09 Okt 2021"
"Awas Hoaks: Bahaya Vaksin Pfizer Bagi Bayi yang Disusui","https://covid19.go.id/p/hoax-buster/awas-hoaks-bahaya-vaksin-pfizer-bagi-bayi-yang-disusui","09 Okt 2021"
"[SALAH] Covid-19 adalah Rencana Depopulasi Dunia","https://covid19.go.id/p/hoax-buster/salah-covid-19-adalah-rencana-depopulasi-dunia","08 Okt 2021"
"[SALAH] Video Jokowi Berjoget dan Kerumunan Tidak Patuh Prokes","https://covid19.go.id/p/hoax-buster/salah-video-jokowi-berjoget-dan-kerumunan-tidak-patuh-prokes","08 Okt 2021"
"Awas Hoaks: Mengonsumsi Antibiotik Dapat Menyembuhkan COVID-19","https://covid19.go.id/p/hoax-buster/awas-hoaks-mengonsumsi-antibiotik-dapat-menyembuhkan-covid-19","08 Okt 2021"
"[SALAH] Sertifikat Vaksin Menjadi Syarat Pengisian BBM di SPBU Wilayah Trumon Raya, Aceh Selatan","https://covid19.go.id/p/hoax-buster/salah-sertifikat-vaksin-menjadi-syarat-pengisian-bbm-di-spbu-wilayah-trumon-raya-aceh-selatan","07 Okt 2021"
"[SALAH] Foto PM Singapura Mengantre Vaksin Covid-19","https://covid19.go.id/p/hoax-buster/salah-foto-pm-singapura-mengantre-vaksin-covid-19","06 Okt 2021"
"[SALAH] Aplikasi PeduliLindungi Dibuat dan Semua Data direkam oleh Singapura","https://covid19.go.id/p/hoax-buster/salah-aplikasi-pedulilindungi-dibuat-dan-semua-data-direkam-oleh-singapura","03 Okt 2021"
"[SALAH] Ketua MUI Memperbolehkan Merapatkan Shaf Shalat","https://covid19.go.id/p/hoax-buster/salah-ketua-mui-memperbolehkan-merapatkan-shaf-shalat","03 Okt 2021"
"[SALAH] WHO Merencanakan Modifikasi Genetik Manusia Melalui Vaksinasi","https://covid19.go.id/p/hoax-buster/salah-who-merencanakan-modifikasi-genetik-manusia-melalui-vaksinasi","01 Okt 2021"
"[SALAH] “Utsmaniy menjadi pelopor dalam penanganan wabah melalui vaksinasi”","https://covid19.go.id/p/hoax-buster/salah-utsmaniy-menjadi-pelopor-dalam-penanganan-wabah-melalui-vaksinasi","01 Okt 2021"
"[SALAH] Video “Rakyat Menang.. !! Pemerintah Rumania menutup semua pusat vaksin..!”","https://covid19.go.id/p/hoax-buster/salah-video-rakyat-menang-pemerintah-rumania-menutup-semua-pusat-vaksin","30 Sep 2021"
"[SALAH] Vaksin Covid-19 Dapat Mengubah Warna Darah","https://covid19.go.id/p/hoax-buster/salah-vaksin-covid-19-dapat-mengubah-warna-darah","30 Sep 2021"
"Awas Hoaks: Imbauan Menkes terkait Larangan Bepergian dan Berkumpul karena Adanya Varian Baru COVID-19","https://covid19.go.id/p/hoax-buster/awas-hoaks-imbauan-menkes-terkait-larangan-bepergian-dan-berkumpul-karena-adanya-varian-baru-covid-19","30 Sep 2021"
"[SALAH] Video Demo Menolak Wajib Vaksin di Brazil","https://covid19.go.id/p/hoax-buster/salah-video-demo-menolak-wajib-vaksin-di-brazil","28 Sep 2021"
"[SALAH] PPKM diperpanjang Bansos dihentikan","https://covid19.go.id/p/hoax-buster/salah-ppkm-diperpanjang-bansos-dihentikan","26 Sep 2021"
"Awas Hoaks: Tukul Sakit Pendarahan Otak karena Vaksin","https://covid19.go.id/p/hoax-buster/awas-hoaks-tukul-sakit-pendarahan-otak-karena-vaksin","25 Sep 2021"
"[SALAH] Pendaftaran Vaksin Nusantara melalui WhatsApp","https://covid19.go.id/p/hoax-buster/salah-pendaftaran-vaksin-nusantara-melalui-whatsapp","24 Sep 2021"
"[SALAH] Mengonsumsi Labu Kuning Dapat Menyembuhkan Covid-19","https://covid19.go.id/p/hoax-buster/salah-mengonsumsi-labu-kuning-dapat-menyembuhkan-covid-19","22 Sep 2021"
"Awas Hoaks: Tautan Subsidi Pulsa Rp250.000 dan Kuota 75 GB dari Kemendikbud untuk Periode Desember 2021","https://covid19.go.id/p/hoax-buster/awas-hoaks-tautan-subsidi-pulsa-rp250000-dan-kuota-75-gb-dari-kemendikbud-untuk-periode-desember-2021","22 Sep 2021"
"Awas Hoaks: Orang yang Berhalangan Vaksinasi Covid-19 Tidak Bisa Naik KRL","https://covid19.go.id/p/hoax-buster/awas-hoaks-orang-yang-berhalangan-vaksinasi-covid-19-tidak-bisa-naik-krl","20 Sep 2021"
"[SALAH] Panggilan Telepon Informasi Seputar Vaksinasi","https://covid19.go.id/p/hoax-buster/salah-panggilan-telepon-informasi-seputar-vaksinasi","19 Sep 2021"
"[SALAH] Mulai 1 Oktober Pasien Covid Tidak Ditanggung Kemenkes","https://covid19.go.id/p/hoax-buster/salah-mulai-1-oktober-pasien-covid-tidak-ditanggung-kemenkes","19 Sep 2021"
"[SALAH] Dr. Ir. Sri Nurdiati, M.Sc: “Banyak orang nggak sadar pentingnya “ANTIBODI” stoknya harus selalu ada”","https://covid19.go.id/p/hoax-buster/salah-dr-ir-sri-nurdiati-msc-banyak-orang-nggak-sadar-pentingnya-antibodi-stoknya-harus-selalu-ada","15 Sep 2021"
"[SALAH] Gambar Bupati Lamongan Ajak Perantau untuk Pulang","https://covid19.go.id/p/hoax-buster/salah-gambar-bupati-lamongan-ajak-perantau-untuk-pulang","15 Sep 2021"
"[SALAH] Judul Berita ITV tentang Efek Samping Vaksin yang Membuat Wajah Menjadi Merah","https://covid19.go.id/p/hoax-buster/salah-judul-berita-itv-tentang-efek-samping-vaksin-yang-membuat-wajah-menjadi-merah","15 Sep 2021"
"Awas Hoaks: Aplikasi PeduliLindungi Buatan Singapura","https://covid19.go.id/p/hoax-buster/awas-hoaks-aplikasi-pedulilindungi-buatan-singapura","15 Sep 2021"
"[SALAH] Laboratorium Pfizer di Madrid Terbakar","https://covid19.go.id/p/hoax-buster/salah-laboratorium-pfizer-di-madrid-terbakar","14 Sep 2021"
"[SALAH] Artikel CNN dengan Judul “Healthy 40-year Old COVID Victim’s Last Words: I blame unvaccinated for this”","https://covid19.go.id/p/hoax-buster/salah-artikel-cnn-dengan-judul-healthy-40-year-old-covid-victims-last-words-i-blame-unvaccinated","14 Sep 2021"
"[SALAH] Tautan Subsidi Pulsa Rp250 Ribu dan Kuota 75 GB oleh Kemendikbud untuk Periode Desember","https://covid19.go.id/p/hoax-buster/salah-tautan-subsidi-pulsa-rp250-ribu-dan-kuota-75-gb-oleh-kemendikbud-untuk-periode-desember","13 Sep 2021"
"[SALAH] Mengunyah Cengkeh atau Kayu Manis Dapat Meningkatkan Kadar Oksigen","https://covid19.go.id/p/hoax-buster/salah-mengunyah-cengkeh-atau-kayu-manis-dapat-meningkatkan-kadar-oksigen","13 Sep 2021"
"[SALAH] Link Peduli Lindungi (pedulilindungia.com)","https://covid19.go.id/p/hoax-buster/salah-link-peduli-lindungi-pedulilindungiacom","12 Sep 2021"
"Awas Hoaks: Situs Palsu Mengatasnamakan PeduliLindungi","https://covid19.go.id/p/hoax-buster/awas-hoaks-situs-palsu-mengatasnamakan-pedulilindungi","10 Sep 2021"
"[SALAH] Presiden Umumkan Bebas Masker & Kegiatan Masyarakat kembali Normal","https://covid19.go.id/p/hoax-buster/salah-presiden-umumkan-bebas-masker-kegiatan-masyarakat-kembali-normal","10 Sep 2021"
"[SALAH] Link Cek Bantuan per 10 September 2021 sebesar Rp600.000 bagi Pengguna E-KTP","https://covid19.go.id/p/hoax-buster/salah-link-cek-bantuan-10-september-2021-sebesar-rp600000-bagi-pengguna-e-ktp","08 Sep 2021"
"Awas Hoaks: Bill Gates Menolak Vaksinasi COVID-19 Untuk Anaknya","https://covid19.go.id/p/hoax-buster/awas-hoaks-bill-gates-menolak-vaksinasi-covid-19-untuk-anaknya","08 Sep 2021"
"Awas Hoaks: Mengunyah Cengkeh atau Kayu Manis dapat Meningkatkan Kadar Oksigen yang Sedang Menurun","https://covid19.go.id/p/hoax-buster/awas-hoaks-mengunyah-cengkeh-atau-kayu-manis-dapat-meningkatkan-kadar-oksigen-yang-sedang-menurun","06 Sep 2021"
"[SALAH] Pesan Berantai Tim Vaksinasi GSP Meminta Data Pribadi","https://covid19.go.id/p/hoax-buster/salah-pesan-berantai-tim-vaksinasi-gsp-meminta-data-pribadi","06 Sep 2021"
"[SALAH] Mencuci Hidung Dengan Garam Menghilangkan Virus Corona","https://covid19.go.id/p/hoax-buster/salah-mencuci-hidung-dengan-garam-menghilangkan-virus-corona","06 Sep 2021"
"Awas Hoaks: Video Siswa Lumpuh Usai Divaksinasi COVID-19","https://covid19.go.id/p/hoax-buster/awas-hoaks-video-siswa-lumpuh-usai-divaksinasi-covid-19","04 Sep 2021"
"[SALAH] Muammar Gaddafi Prediksi Covid-19","https://covid19.go.id/p/hoax-buster/salah-muammar-gaddafi-prediksi-covid-19","04 Sep 2021"
"[SALAH] Obat Covid-19 Molnulpiravir Mulai Beredar September Mendatang","https://covid19.go.id/p/hoax-buster/salah-obat-covid-19-molnulpiravir-mulai-beredar-september-mendatang","03 Sep 2021"
"[SALAH] “Madagaskar keluar dari WHO”","https://covid19.go.id/p/hoax-buster/salah-madagaskar-keluar-dari-who","31 Agu 2021"
