title_name,title_url,title_date,title_date_url
Jateng-DKI Tertinggi! Ini Sebaran 719 Kasus Baru COVID-19 RI 27 Oktober,https://health.detik.com/berita-detikhealth/d-5785259/jateng-dki-tertinggi-ini-sebaran-719-kasus-baru-covid-19-ri-27-oktober,"detikHealthRabu, 27 Okt 2021 17:34 WIB",https://health.detik.com/berita-detikhealth/d-5785259/jateng-dki-tertinggi-ini-sebaran-719-kasus-baru-covid-19-ri-27-oktober
"COVID-19 RI 27 Oktober Tambah 719, Kasus Aktif di 12 Ribuan",https://health.detik.com/berita-detikhealth/d-5785224/covid-19-ri-27-oktober-tambah-719-kasus-aktif-di-12-ribuan,"detikHealthRabu, 27 Okt 2021 17:23 WIB",https://health.detik.com/berita-detikhealth/d-5785224/covid-19-ri-27-oktober-tambah-719-kasus-aktif-di-12-ribuan
"Pemerintah Hapus Cuti Bersama Natal, Ini Alasan dan Aturannya",https://news.detik.com/berita/d-5785175/pemerintah-hapus-cuti-bersama-natal-ini-alasan-dan-aturannya,"detikNewsRabu, 27 Okt 2021 17:04 WIB",https://news.detik.com/berita/d-5785175/pemerintah-hapus-cuti-bersama-natal-ini-alasan-dan-aturannya
"Harga Tes PCR Turun Lagi, Kenapa Baru Sekarang? Ini Jawab Kemenkes",https://health.detik.com/berita-detikhealth/d-5785151/harga-tes-pcr-turun-lagi-kenapa-baru-sekarang-ini-jawab-kemenkes,"detikHealthRabu, 27 Okt 2021 16:46 WIB",https://health.detik.com/berita-detikhealth/d-5785151/harga-tes-pcr-turun-lagi-kenapa-baru-sekarang-ini-jawab-kemenkes
"Miss Universe Pertama Kali Digelar di Israel, Panen Kritik dan Boikot",https://wolipop.detik.com/entertainment-news/d-5785114/miss-universe-pertama-kali-digelar-di-israel-panen-kritik-dan-boikot,"WolipopRabu, 27 Okt 2021 16:45 WIB",https://wolipop.detik.com/entertainment-news/d-5785114/miss-universe-pertama-kali-digelar-di-israel-panen-kritik-dan-boikot
"Update COVID-19 Jatim: Kasus Baru 51, Sembuh 72, Meninggal 7",https://news.detik.com/berita-jawa-timur/d-5785136/update-covid-19-jatim-kasus-baru-51-sembuh-72-meninggal-7,"detikNewsRabu, 27 Okt 2021 16:39 WIB",https://news.detik.com/berita-jawa-timur/d-5785136/update-covid-19-jatim-kasus-baru-51-sembuh-72-meninggal-7
"Harga PCR Turun, Faskes/Lab yang Tak Patuh Bisa Ditutup-Dicabut Izinnya!",https://health.detik.com/berita-detikhealth/d-5785135/harga-pcr-turun-faskeslab-yang-tak-patuh-bisa-ditutup-dicabut-izinnya,"detikHealthRabu, 27 Okt 2021 16:38 WIB",https://health.detik.com/berita-detikhealth/d-5785135/harga-pcr-turun-faskeslab-yang-tak-patuh-bisa-ditutup-dicabut-izinnya
"Tok! Harga Baru Tes PCR Jawa Bali Maksimal Rp 275 Ribu, Lainnya Rp 300 Ribu",https://health.detik.com/berita-detikhealth/d-5785098/tok-harga-baru-tes-pcr-jawa-bali-maksimal-rp-275-ribu-lainnya-rp-300-ribu,"detikHealthRabu, 27 Okt 2021 16:17 WIB",https://health.detik.com/berita-detikhealth/d-5785098/tok-harga-baru-tes-pcr-jawa-bali-maksimal-rp-275-ribu-lainnya-rp-300-ribu
Kasus Aktif COVID-19 di Jatim Tersisa 499 Pasien,https://news.detik.com/berita-jawa-timur/d-5785079/kasus-aktif-covid-19-di-jatim-tersisa-499-pasien,"detikNewsRabu, 27 Okt 2021 16:01 WIB",https://news.detik.com/berita-jawa-timur/d-5785079/kasus-aktif-covid-19-di-jatim-tersisa-499-pasien
Waduh! Giliran India Laporkan Varian Delta 'Plus' AY.4.2,https://health.detik.com/berita-detikhealth/d-5785078/waduh-giliran-india-laporkan-varian-delta-plus-ay42,"detikHealthRabu, 27 Okt 2021 16:00 WIB",https://health.detik.com/berita-detikhealth/d-5785078/waduh-giliran-india-laporkan-varian-delta-plus-ay42
Gubernur Bengkulu Surati Bupati-Walkot Minta Warga Tolak Divaksin Dihukum,https://news.detik.com/berita/d-5785059/gubernur-bengkulu-surati-bupati-walkot-minta-warga-tolak-divaksin-dihukum,"detikNewsRabu, 27 Okt 2021 15:45 WIB",https://news.detik.com/berita/d-5785059/gubernur-bengkulu-surati-bupati-walkot-minta-warga-tolak-divaksin-dihukum
PDIP Jawab Pertanyaan PD soal 'Apa Salah SBY': Cermin!,https://news.detik.com/berita/d-5785037/pdip-jawab-pertanyaan-pd-soal-apa-salah-sby-cermin,"detikNewsRabu, 27 Okt 2021 15:35 WIB",https://news.detik.com/berita/d-5785037/pdip-jawab-pertanyaan-pd-soal-apa-salah-sby-cermin
"Siap-siap! Kemenkes Tetapkan Harga Baru Tes PCR Sore Ini, Jadi Rp 300 Ribu?",https://health.detik.com/berita-detikhealth/d-5784960/siap-siap-kemenkes-tetapkan-harga-baru-tes-pcr-sore-ini-jadi-rp-300-ribu,"detikHealthRabu, 27 Okt 2021 14:53 WIB",https://health.detik.com/berita-detikhealth/d-5784960/siap-siap-kemenkes-tetapkan-harga-baru-tes-pcr-sore-ini-jadi-rp-300-ribu
"Vaksin COVID-19 Terbaik untuk Booster, Bisa Pakai Sinovac? Ini Kata ITAGI",https://health.detik.com/berita-detikhealth/d-5784912/vaksin-covid-19-terbaik-untuk-booster-bisa-pakai-sinovac-ini-kata-itagi,"detikHealthRabu, 27 Okt 2021 14:31 WIB",https://health.detik.com/berita-detikhealth/d-5784912/vaksin-covid-19-terbaik-untuk-booster-bisa-pakai-sinovac-ini-kata-itagi
Bagaimana Biar Vaksinasi Luar Jawa Bisa Ngebut?,https://finance.detik.com/berita-ekonomi-bisnis/d-5785117/bagaimana-biar-vaksinasi-luar-jawa-bisa-ngebut,"detikFinanceRabu, 27 Okt 2021 14:28 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-5785117/bagaimana-biar-vaksinasi-luar-jawa-bisa-ngebut
Aksi Mata-mata Luhut Berujung Penutupan Holywings dan Marabunta,https://news.detik.com/berita/d-5784822/aksi-mata-mata-luhut-berujung-penutupan-holywings-dan-marabunta,"detikNewsRabu, 27 Okt 2021 14:05 WIB",https://news.detik.com/berita/d-5784822/aksi-mata-mata-luhut-berujung-penutupan-holywings-dan-marabunta
"Cuti Bersama Dihapus, Tanggal Merah Natal-Tahun Baru Jatuh di Hari Sabtu",https://news.detik.com/berita/d-5784819/cuti-bersama-dihapus-tanggal-merah-natal-tahun-baru-jatuh-di-hari-sabtu,"detikNewsRabu, 27 Okt 2021 14:04 WIB",https://news.detik.com/berita/d-5784819/cuti-bersama-dihapus-tanggal-merah-natal-tahun-baru-jatuh-di-hari-sabtu
RI Jadi Tuan Rumah Workshop CIRDAP Bahas Pemerintahan Desa Masa Depan,https://news.detik.com/berita/d-5784771/ri-jadi-tuan-rumah-workshop-cirdap-bahas-pemerintahan-desa-masa-depan,"detikNewsRabu, 27 Okt 2021 13:39 WIB",https://news.detik.com/berita/d-5784771/ri-jadi-tuan-rumah-workshop-cirdap-bahas-pemerintahan-desa-masa-depan
Sultan HB X soal Kasus Corona di Sekolah Bantul: PTM Tetap Lanjut,https://news.detik.com/berita-jawa-tengah/d-5784746/sultan-hb-x-soal-kasus-corona-di-sekolah-bantul-ptm-tetap-lanjut,"detikNewsRabu, 27 Okt 2021 13:30 WIB",https://news.detik.com/berita-jawa-tengah/d-5784746/sultan-hb-x-soal-kasus-corona-di-sekolah-bantul-ptm-tetap-lanjut
